Additional_Info,Airline,Arrival_Time.1,Arrival_Time.2,Arrival_Time.3,Dep_Time,Date_of_Journey,Destination,DurationH,DurationM,Index,Price,Route.1,Route.3,Route.5,Route.7,Source,Total_Stops
No info,IndiGo,1899-12-30 01:10:00,22,Mar,1899-12-30 22:20:00,2019-03-24 00:00:00,New Delhi,2,50,1,3897,BLR,DEL,,,Banglore,non-stop
No info,Air India,1899-12-30 13:15:00,,,1899-12-30 05:50:00,2019-05-01 00:00:00,Banglore,7,25,2,7662,CCU,IXR,BBI,BLR,Kolkata,2 stops
No info,Jet Airways,1899-12-30 04:25:00,10,Jun,1899-12-30 09:25:00,2019-06-09 00:00:00,Cochin,19,,3,13882,DEL,LKO,BOM,COK,Delhi,2 stops
No info,IndiGo,1899-12-30 23:30:00,,,1899-12-30 18:05:00,2019-05-12 00:00:00,Banglore,5,25,4,6218,CCU,NAG,BLR,,Kolkata,1 stop
No info,IndiGo,1899-12-30 21:35:00,,,1899-12-30 16:50:00,2019-03-01 00:00:00,New Delhi,4,45,5,13302,BLR,NAG,DEL,,Banglore,1 stop
No info,SpiceJet,1899-12-30 11:25:00,,,1899-12-30 09:00:00,2019-06-24 00:00:00,Banglore,2,25,6,3873,CCU,BLR,,,Kolkata,non-stop
In-flight meal not included,Jet Airways,1899-12-30 10:25:00,13,Mar,1899-12-30 18:55:00,2019-03-12 00:00:00,New Delhi,15,30,7,11087,BLR,BOM,DEL,,Banglore,1 stop
No info,Jet Airways,1899-12-30 05:05:00,2,Mar,1899-12-30 08:00:00,2019-03-01 00:00:00,New Delhi,21,5,8,22270,BLR,BOM,DEL,,Banglore,1 stop
In-flight meal not included,Jet Airways,1899-12-30 10:25:00,13,Mar,1899-12-30 08:55:00,2019-03-12 00:00:00,New Delhi,25,30,9,11087,BLR,BOM,DEL,,Banglore,1 stop
No info,Multiple carriers,1899-12-30 19:15:00,,,1899-12-30 11:25:00,2019-05-27 00:00:00,Cochin,7,50,10,8625,DEL,BOM,COK,,Delhi,1 stop
No info,Air India,1899-12-30 23:00:00,,,1899-12-30 09:45:00,2019-06-01 00:00:00,Cochin,13,15,11,8907,DEL,BLR,COK,,Delhi,1 stop
No info,IndiGo,1899-12-30 22:55:00,,,1899-12-30 20:20:00,2019-04-18 00:00:00,Banglore,2,35,12,4174,CCU,BLR,,,Kolkata,non-stop
No info,Air India,1899-12-30 13:55:00,,,1899-12-30 11:40:00,2019-06-24 00:00:00,Kolkata,2,15,13,4667,MAA,CCU,,,Chennai,non-stop
In-flight meal not included,Jet Airways,1899-12-30 09:20:00,10,May,1899-12-30 21:10:00,2019-05-09 00:00:00,Banglore,12,10,14,9663,CCU,BOM,BLR,,Kolkata,1 stop
No info,IndiGo,1899-12-30 19:50:00,,,1899-12-30 17:15:00,2019-04-24 00:00:00,Banglore,2,35,15,4804,CCU,BLR,,,Kolkata,non-stop
No info,Air India,1899-12-30 19:15:00,4,Mar,1899-12-30 16:40:00,2019-03-03 00:00:00,Cochin,26,35,16,14011,DEL,AMD,BOM,COK,Delhi,2 stops
No info,SpiceJet,1899-12-30 13:15:00,,,1899-12-30 08:45:00,2019-04-15 00:00:00,Cochin,4,30,17,5830,DEL,PNQ,COK,,Delhi,1 stop
In-flight meal not included,Jet Airways,1899-12-30 12:35:00,13,Jun,1899-12-30 14:00:00,2019-06-12 00:00:00,Cochin,22,35,18,10262,DEL,BOM,COK,,Delhi,1 stop
No info,Air India,1899-12-30 19:15:00,13,Jun,1899-12-30 20:15:00,2019-06-12 00:00:00,Cochin,23,,19,13381,DEL,CCU,BOM,COK,Delhi,2 stops
In-flight meal not included,Jet Airways,1899-12-30 12:35:00,28,May,1899-12-30 16:00:00,2019-05-27 00:00:00,Cochin,20,35,20,12898,DEL,BOM,COK,,Delhi,1 stop
No info,GoAir,1899-12-30 19:20:00,,,1899-12-30 14:10:00,2019-03-06 00:00:00,Cochin,5,10,21,19495,DEL,BOM,COK,,Delhi,1 stop
No info,Air India,1899-12-30 13:20:00,19,Mar,1899-12-30 22:00:00,2019-03-21 00:00:00,New Delhi,15,20,22,6955,BLR,COK,DEL,,Banglore,1 stop
No info,IndiGo,1899-12-30 06:50:00,,,1899-12-30 04:00:00,2019-04-03 00:00:00,Delhi,2,50,23,3943,BLR,DEL,,,Banglore,non-stop
